number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure,Personal Name,Place of Birth,Modern-day country of birth,Comments
108,Marinus I,Marinus,1,NA,0830-06-30T00:00:00Z,0882-12-16T00:00:00Z,0884-05-15T00:00:00Z,52.4626967830253,53.8754277891855,1.41256830601093,,"Gallese, Papal States",Italy,Erroneously also known as Martin II. 
109,Adrian III,Adrian,3,Saint,0830-06-30T00:00:00Z,0884-05-17T00:00:00Z,0885-09-15T00:00:00Z,53.8809034907598,55.211498973306,1.33150684931507,,Rome,Italy,Adrian I was possibly his ancestor. 
110,Stephen V,Stephen,5,Saint,0840-06-30T00:00:00Z,0885-09-14T00:00:00Z,0891-09-04T00:00:00Z,45.2073921971253,51.1786447638604,5.97260273972603,,Rome,Italy,
111,Formosus,Formosus,1,NA,0805-06-30T00:00:00Z,0891-10-06T00:00:00Z,0896-04-04T00:00:00Z,86.2669404517454,90.7624914442163,4.49453551912568,,"Ostia, Papal States",Italy,In early 897 posthumously executed following the Cadaver Synod. His body was reburied with full Christian honours in 897. 
112,Boniface VI,Boniface,6,NA,0806-06-30T00:00:00Z,0896-04-11T00:00:00Z,0896-04-26T00:00:00Z,89.782340862423,89.82340862423,0.0410958904109589,,Rome,Italy,
113,Stephen VI,Stephen,6,Saint,0850-06-30T00:00:00Z,0896-05-22T00:00:00Z,0897-08-14T00:00:00Z,45.8945927446954,47.1238877481177,1.23013698630137,,Rome,Italy,Held the infamous Cadaver Synod. 
114,Romanus,Romanus,1,NA,0850-06-30T00:00:00Z,0897-08-14T00:00:00Z,0897-11-01T00:00:00Z,47.1238877481177,47.3401779603012,0.216438356164384,,"Gallese, Papal States",Italy,
115,Theodore II,Theodore,2,NA,0840-06-30T00:00:00Z,0897-12-01T00:00:00Z,0897-12-20T00:00:00Z,57.4209445585216,57.4729637234771,0.0520547945205479,,Rome,Italy,
116,John IX,John,9,NA,0840-06-30T00:00:00Z,0898-01-18T00:00:00Z,0900-01-05T00:00:00Z,57.5523613963039,59.5154004106776,1.96438356164384,,Tivoli,Italy,
117,Benedict IV,Benedict,4,NA,0840-06-30T00:00:00Z,0900-02-01T00:00:00Z,0903-07-30T00:00:00Z,59.5893223819302,63.0773442847365,3.49041095890411,,Rome,Italy,
118,Leo V,Leo,5,NA,0845-06-30T00:00:00Z,0903-07-30T00:00:00Z,0903-12-01T00:00:00Z,58.0780287474333,58.4175222450376,0.33879781420765,,Ardea,Italy,Deposed and murdered. 
119,Sergius III,Sergius,3,NA,0860-06-30T00:00:00Z,0904-01-29T00:00:00Z,0911-04-14T00:00:00Z,43.5783709787817,50.7843942505133,7.2054794520548,,Rome,Italy,"""Saeculum obscurum"" begins. The first pope to be depicted with the Papal Tiara. "
120,Anastasius III,Anastasius,3,NA,0865-06-30T00:00:00Z,0911-04-14T00:00:00Z,0913-06-01T00:00:00Z,45.7850787132101,47.917864476386,2.13150684931507,,Rome,Italy,
121,Lando,Lando,1,NA,0865-06-30T00:00:00Z,0913-07-07T00:00:00Z,0914-02-05T00:00:00Z,48.0164271047228,48.5995893223819,0.583561643835617,,"Sabina, Papal States",Italy,Last to use a new and non-composed regnal name until Francis (2013-) 
122,John X,John,10,NA,0860-06-30T00:00:00Z,0914-03-01T00:00:00Z,0928-05-28T00:00:00Z,53.6646132785763,67.9069130732375,14.241095890411,,"Tossignano, Papal States",Italy,
123,Leo VI,Leo,6,NA,0880-06-30T00:00:00Z,0928-05-28T00:00:00Z,0928-12-01T00:00:00Z,47.9069130732375,48.4188911704312,0.512328767123288,,Rome,Italy,
124,Stephen VII,Stephen,7,Saint,0880-06-30T00:00:00Z,0929-02-03T00:00:00Z,0931-02-13T00:00:00Z,48.5941136208077,50.6201232032854,2.02739726027397,,Rome,Italy,
