number,name_full,suffix,canonization,birth,start,end,age_start,age_end,tenure,gap_from_previous
61,John III,3,NA,0520-06-30T00:00:00Z,0561-07-17T00:00:00Z,0574-07-13T00:00:00Z,41,54,12.9890410958904,26.1930184804928
257,Pius X,10,Saint,1835-06-02T00:00:00Z,1903-08-04T00:00:00Z,1914-08-20T00:00:00Z,68,79,11.0438356164384,25.4839151266256
132,Leo VIII,8,NA,0915-06-30T00:00:00Z,0964-06-23T00:00:00Z,0965-03-01T00:00:00Z,48,49,0.687671232876712,24.9472963723477
123,Leo VI,6,NA,0880-06-30T00:00:00Z,0928-05-28T00:00:00Z,0928-12-01T00:00:00Z,47,48,0.512328767123288,24.4900752908966
243,Clement XI,11,NA,1649-07-23T00:00:00Z,1700-11-23T00:00:00Z,1721-03-19T00:00:00Z,51,71,20.3178082191781,24.3367556468173
241,Alexander VIII,8,NA,1610-04-22T00:00:00Z,1689-10-06T00:00:00Z,1691-02-01T00:00:00Z,79,80,1.32328767123288,22.3764544832307
240,Innocent XI,11,Blessed,1611-05-16T00:00:00Z,1676-09-21T00:00:00Z,1689-08-12T00:00:00Z,65,78,12.8904109589041,21.7056810403833
185,Innocent V,5,Blessed,1224-06-30T00:00:00Z,1276-01-21T00:00:00Z,1276-06-22T00:00:00Z,51,51,0.418032786885246,21.1225188227242
244,Innocent XIII,13,NA,1655-05-13T00:00:00Z,1721-05-08T00:00:00Z,1724-03-07T00:00:00Z,65,68,2.83060109289618,20.6105407255305
130,John XII,12,NA,0930-06-30T00:00:00Z,0955-12-16T00:00:00Z,0963-12-06T00:00:00Z,25,33,7.97260273972603,20.041067761807
63,Pelagius II,2,NA,0520-06-30T00:00:00Z,0579-11-26T00:00:00Z,0590-02-07T00:00:00Z,59,69,10.2,18.7296372347707
248,Clement XIII,13,NA,1693-03-07T00:00:00Z,1758-07-06T00:00:00Z,1769-02-02T00:00:00Z,65,75,10.5780821917808,18.4120465434634
255,Pius IX,9,Blessed,1792-05-13T00:00:00Z,1846-06-16T00:00:00Z,1878-02-07T00:00:00Z,54,85,31.6465753424658,15.5427789185489
85,John VI,6,NA,0650-06-30T00:00:00Z,0701-10-30T00:00:00Z,0705-01-11T00:00:00Z,51,54,3.2,15.2416153319644
116,John IX,9,NA,0840-06-30T00:00:00Z,0898-01-18T00:00:00Z,0900-01-05T00:00:00Z,57,59,1.96438356164384,15.0910335386721
144,John XIX,19,NA,0975-06-30T00:00:00Z,1024-05-14T00:00:00Z,1032-10-06T00:00:00Z,48,57,8.3972602739726,14.8227241615332
122,John X,10,NA,0860-06-30T00:00:00Z,0914-03-01T00:00:00Z,0928-05-28T00:00:00Z,53,67,14.241095890411,14.1492128678987
109,Adrian III,3,Saint,0830-06-30T00:00:00Z,0884-05-17T00:00:00Z,0885-09-15T00:00:00Z,53,55,1.33150684931507,11.4223134839151
94,Stephen III,3,Saint,0723-06-30T00:00:00Z,0768-08-07T00:00:00Z,0772-01-24T00:00:00Z,45,48,3.46448087431694,11.2826830937714
136,John XIV,14,NA,0940-06-30T00:00:00Z,0983-12-01T00:00:00Z,0984-08-20T00:00:00Z,43,44,0.718579234972678,11.233401779603
247,Benedict XIV,14,NA,1675-03-31T00:00:00Z,1740-08-17T00:00:00Z,1758-05-03T00:00:00Z,65,83,17.7095890410959,10.4859685147159
246,Clement XII,12,NA,1652-04-07T00:00:00Z,1730-07-12T00:00:00Z,1740-02-06T00:00:00Z,78,87,9.57103825136612,9.31416837782341
134,Benedict VI,6,NA,0925-06-30T00:00:00Z,0973-01-19T00:00:00Z,0974-06-08T00:00:00Z,47,48,1.38356164383562,8.57494866529774
145,Benedict IX,9,NA,NA,1032-10-21T00:00:00Z,1044-12-31T00:00:00Z,NA,NA,12.1945205479452,8.53388090349076
127,Stephen VIII,8,Saint,0900-06-30T00:00:00Z,0939-07-14T00:00:00Z,0942-10-30T00:00:00Z,39,42,3.2958904109589,8.41341546885695
191,Nicholas IV,4,NA,1227-09-30T00:00:00Z,1288-02-22T00:00:00Z,1292-04-04T00:00:00Z,60,64,4.11475409836066,7.50171115674196
259,Pius XI,11,NA,1857-05-31T00:00:00Z,1922-02-06T00:00:00Z,1939-02-10T00:00:00Z,64,81,17.0109589041096,7.46611909650924
202,Urban VI,6,NA,1318-06-30T00:00:00Z,1378-04-08T00:00:00Z,1389-10-15T00:00:00Z,59,71,11.5205479452055,7.30184804928131
140,John XVII,17,NA,0955-06-30T00:00:00Z,1003-05-16T00:00:00Z,1003-11-06T00:00:00Z,47,48,0.475409836065574,7.11841204654346
126,Leo VII,7,NA,0885-06-30T00:00:00Z,0936-01-03T00:00:00Z,0939-07-13T00:00:00Z,50,54,3.52328767123288,7.08829568788501
56,John II,2,NA,0473-06-30T00:00:00Z,0533-01-02T00:00:00Z,0535-05-08T00:00:00Z,59,61,2.34520547945206,6.62833675564682
229,Gregory XIV,14,NA,1535-02-11T00:00:00Z,1590-12-05T00:00:00Z,1591-10-16T00:00:00Z,55,56,0.863013698630137,5.65366187542779
253,Pius VIII,8,NA,1761-11-20T00:00:00Z,1829-03-31T00:00:00Z,1830-11-30T00:00:00Z,67,69,1.66849315068493,5.61259411362081
223,Paul IV,4,NA,1476-06-28T00:00:00Z,1555-05-23T00:00:00Z,1559-08-18T00:00:00Z,78,83,4.23770491803279,5.53045859000685
113,Stephen VI,6,Saint,0850-06-30T00:00:00Z,0896-05-22T00:00:00Z,0897-08-14T00:00:00Z,45,47,1.23013698630137,4.71457905544148
69,Boniface V,5,NA,0575-06-30T00:00:00Z,0619-12-23T00:00:00Z,0625-10-25T00:00:00Z,44,50,5.83835616438356,4.62696783025325
125,John XI,11,NA,0910-06-30T00:00:00Z,0931-03-15T00:00:00Z,0935-12-01T00:00:00Z,20,25,4.71311475409836,2.79534565366188
