number,name_full,canonization,birth,start,end,age_start,age_end,tenure
197,Benedict XII,,1280-06-30T00:00:00Z,1334-12-20T00:00:00Z,1342-04-25T00:00:00Z,54.47065990403636,61.816464403786526,7.34520547945206
258,Benedict XV,,1854-11-21T00:00:00Z,1914-09-03T00:00:00Z,1922-01-22T00:00:00Z,59.782199497594064,67.16907260244906,7.38630136986301
17,Urban I,Saint,0175-06-30T00:00:00Z,0222-10-14T00:00:00Z,0230-05-23T00:00:00Z,47.28912982470551,54.895035490119575,7.60547945205479
29,Marcellinus,Saint,0250-06-30T00:00:00Z,0296-06-30T00:00:00Z,0304-04-26T00:00:00Z,46.0023135314209,53.82177594338008,7.8224043715847
265,Benedict XVI,,1927-04-16T00:00:00Z,2005-04-19T00:00:00Z,2013-02-28T00:00:00Z,78.01118435012354,85.87445327419454,7.86301369863014
213,Innocent VIII,,1432-06-30T00:00:00Z,1484-08-29T00:00:00Z,1492-07-25T00:00:00Z,52.16534220415203,60.06967973332786,7.90437158469945
12,Soter,Saint,0119-06-30T00:00:00Z,0166-04-20T00:00:00Z,0174-04-22T00:00:00Z,46.807258191475526,54.81289827990992,8.0054794520548
208,Nicholas V,,1397-11-13T00:00:00Z,1447-03-06T00:00:00Z,1455-03-24T00:00:00Z,49.30696728885604,57.35641388940225,8.04918032786885
44,Sixtus III,Saint,0390-06-30T00:00:00Z,0432-07-31T00:00:00Z,0440-08-18T00:00:00Z,42.087106511427336,50.13655311197355,8.04931506849315
130,John XII,,0934-06-30T00:00:00Z,0955-12-16T00:00:00Z,0964-05-14T00:00:00Z,21.46245302778291,29.873303353251607,8.199863107460644
200,Urban V,Blessed,1309-06-30T00:00:00Z,1362-09-28T00:00:00Z,1370-12-19T00:00:00Z,53.2468154719125,61.47148812090597,8.22465753424658
103,Leo IV,Saint,0790-06-30T00:00:00Z,0847-04-10T00:00:00Z,0855-07-17T00:00:00Z,56.77871551092767,65.04719467203296,8.26775956284153
167,Eugene III,Blessed,1080-06-30T00:00:00Z,1145-02-15T00:00:00Z,1153-07-08T00:00:00Z,64.62829489996372,73.0199798763835,8.39178082191781
144,John XIX,,0975-06-30T00:00:00Z,1024-05-14T00:00:00Z,1032-10-06T00:00:00Z,48.87164007474486,57.26880086517861,8.3972602739726
205,Gregory XII,,1327-06-30T00:00:00Z,1406-11-30T00:00:00Z,1415-07-04T00:00:00Z,79.41846855171563,88.01002073964558,8.59178082191781
217,Leo X,,1475-12-11T00:00:00Z,1513-03-09T00:00:00Z,1521-12-01T00:00:00Z,37.24101110905768,45.97219655434403,8.73150684931507
135,Benedict VII,,0930-06-30T00:00:00Z,0974-10-01T00:00:00Z,0983-07-10T00:00:00Z,44.25552886096224,53.02778291135341,8.77260273972603
193,Boniface VIII,,1230-06-30T00:00:00Z,1294-12-24T00:00:00Z,1303-10-11T00:00:00Z,64.48592373560032,73.2800810420474,8.7972602739726
195,Clement V,,1264-06-30T00:00:00Z,1305-06-05T00:00:00Z,1314-04-20T00:00:00Z,40.9289718474712,49.80252845712095,8.87397260273973
27,Eutychian,Saint,0240-06-30T00:00:00Z,0275-01-04T00:00:00Z,0283-12-07T00:00:00Z,34.51405573009713,43.43689466587267,8.92328767123288
48,Felix III,Saint,0440-06-30T00:00:00Z,0483-03-13T00:00:00Z,0492-03-01T00:00:00Z,42.700397680992765,51.66978103588711,8.9672131147541
52,Hormisdas,Saint,0450-06-30T00:00:00Z,0514-07-20T00:00:00Z,0523-08-06T00:00:00Z,64.05333442849613,73.09937917958617,9.04644808743169
242,Innocent XII,,1615-03-13T00:00:00Z,1691-07-12T00:00:00Z,1700-09-27T00:00:00Z,76.33284735483959,85.54316652634893,9.21095890410959
216,Julius II,,1443-12-05T00:00:00Z,1503-10-31T00:00:00Z,1513-02-21T00:00:00Z,59.90266740590156,69.21428913666948,9.30958904109589
25,Dionysius,Saint,0200-06-30T00:00:00Z,0259-07-22T00:00:00Z,0268-12-26T00:00:00Z,59.0593920477491,68.4914816868245,9.43013698630137
129,Agapetus II,,0905-06-30T00:00:00Z,0946-05-10T00:00:00Z,0955-11-08T00:00:00Z,40.860524172296486,50.35832357953962,9.49726775956284
6,Alexander I,Saint,0075-06-30T00:00:00Z,0105-10-27T00:00:00Z,0115-05-03T00:00:00Z,30.32505800940471,39.83928485868977,9.51506849315068
105,Nicholas I,Saint,0800-06-30T00:00:00Z,0858-04-24T00:00:00Z,0867-11-13T00:00:00Z,57.81638226657631,67.3716777209662,9.55464480874317
246,Clement XII,,1652-04-07T00:00:00Z,1730-07-12T00:00:00Z,1740-02-06T00:00:00Z,78.2603338877595,87.83205678419132,9.57103825136612
199,Innocent VI,,1282-06-30T00:00:00Z,1352-12-18T00:00:00Z,1362-09-12T00:00:00Z,70.4682505458702,80.20150995571436,9.73424657534247
43,Celestine I,Saint,0380-06-30T00:00:00Z,0422-09-10T00:00:00Z,0432-07-27T00:00:00Z,42.19662279170688,52.074991272921416,9.87704918032787
7,Sixtus I,Saint,0042-06-30T00:00:00Z,0115-05-03T00:00:00Z,0125-04-03T00:00:00Z,72.83927801392225,82.75871510024162,9.91780821917808
107,John VIII,,0820-06-30T00:00:00Z,0872-12-14T00:00:00Z,0882-12-16T00:00:00Z,52.458298253899805,62.462610457435815,10.0054794520548
93,Paul I,Saint,0700-06-30T00:00:00Z,0757-05-29T00:00:00Z,0767-06-28T00:00:00Z,56.91287295427011,66.99384655400179,10.0819672131148
